period,product,product_group,quantity,list_price,net_price
01/11/2020,PRDM0JIVQWT,G1,36,320.8,320.8
01/11/2021,PRDQJLH8IL1,G3,76,304.45,304.45
01/03/2022,PRDWQS9M7D1,G3,66,304.45,304.45
01/01/2021,PRDJKCHZO3E,G2,36,183.16,183.16
01/12/2020,PRDWQ037BWU,G2,36,209.05,209.05
01/01/2021,PRDPOZKRHFE,G1,36,317.38,317.38
01/01/2022,PRDRDV2WKW8,G1,66,160.72,160.72
01/03/2021,PRDRV5M6DXA,G3,32,102.76,102.76
01/04/2021,PRDOE3IUPS5,G3,32,102.76,102.76
01/11/2020,PRD1QNXQY4B,G1,36,190.9,190.9
01/06/2021,PRDKMXTF9CY,G1,30,114.9418,170.62
01/10/2021,PRDZW9KOOVL,G1,216,128.5,128.5
01/04/2021,PRD8IOXT72U,G2,36,182.2,182.2
01/03/2021,PRDLXNVQ2ZU,G3,460,87.19,87.19
01/02/2022,PRD3NIYI73K,G4,816,53.41,42.85
01/10/2021,PRDRMFUFYGN,G4,17616,53.41,42.85
01/09/2020,PRDYTB3HRZX,G4,9616,42.85,42.85
01/02/2021,PRD11DHIOTN,G4,19216,42.85,42.85
01/07/2021,PRD410VL4V7,G10,300016,17.98,17.2
01/03/2020,PRDGSYKC7VI,G10,450016,17.95,17.35
01/04/2020,PRDZOOD9FRC,G10,750016,17.89,17.35
01/03/2021,PRDTWCV7UE4,G10,2310016,17.92,17.2
01/05/2020,PRDNZHHMGFU,G10,660016,17.92,17.35
01/12/2020,PRD5D731G9G,G10,1350016,17.92,17.2
01/05/2021,PRDN0YYLU6F,G10,1440016,17.92,17.2
01/04/2021,PRDSHJOTIW6,G10,3570016,17.92,17.2
01/05/2020,PRDTG7CNNG2,G10,210016,17.89,17.35
01/10/2020,PRDKH5PZSIY,G10,1830016,17.92,17.2
01/09/2020,PRD69A3GO9I,G10,510016,17.92,17.35
01/02/2021,PRD7Q0XLICH,G10,510016,17.92,17.2
01/07/2020,PRDROIQB3ZB,G10,900016,17.92,17.35
01/01/2021,PRD4FBPI7LC,G10,4020016,17.92,17.2
01/11/2020,PRDYC8ANYB1,G10,4680016,17.92,17.2
01/06/2020,PRD5ZW3IS2M,G10,600016,17.92,17.35
01/06/2021,PRD72S0ZLOW,G10,2010016,17.92,17.2
01/08/2020,PRD407GYYBR,G10,840016,17.92,17.35
01/01/2022,PRDFSJAK33R,G1,32,498.58,498.58
01/12/2020,PRDWM0XEKS2,G1,286,196,211
01/06/2020,PRD4AAED98P,G1,136,196,253
01/04/2020,PRDHQ2PIPHA,G1,232,196,211
01/11/2020,PRDW3XENUR4,G1,74,196,211
01/10/2021,PRDWVYTCMA6,G1,970,219.52,208.492
01/01/2022,PRDSZ8W42BY,G1,462,219.52,204.403
01/06/2021,PRDB7VXR96L,G1,36,260.11,312.64
01/07/2021,PRDE86F7VZD,G1,46,260.11,312.64
01/01/2022,PRD9J7PPB6M,G1,36,341.23,498.58
01/02/2022,PRD7S3WWFC0,G1,36,341.23,498.58
01/06/2021,PRDXY44O4YT,G1,156,260.11,253
01/09/2020,PRDMQYJ2JOZ,G1,184,211,253
01/08/2021,PRDCJFN5N97,G1,216,232.3036,210.2647
01/09/2020,PRDYJPRBK0U,G1,76,211,252.9949
01/03/2022,PRDSH4AUMY2,G1,292,271.99,267.1405
01/11/2020,PRDLZSB9CIK,G1,66,211,253
01/03/2021,PRDAG3WMXE8,G1,216,211,220.081
01/04/2020,PRDR47BIKJ5,G1,326,211,217.3093
01/08/2021,PRDZBN9I5UC,G1,66,205.3576,196
01/10/2021,PRDT83JQ00Q,G1,456,215.32,196
01/01/2022,PRDRF3BHUJS,G1,52,215.32,312.64
01/12/2021,PRDKD7DBQKS,G1,336,215.32,196
01/10/2021,PRDSBK7744L,G1,288,215.32,232.3
01/01/2022,PRDFGIAREXX,G1,66,215.32,260.11
01/07/2021,PRDKLQYCQQD,G1,456,205.3576,196
01/01/2022,PRD355PVAG2,G1,426,215.32,196
01/02/2022,PRDSGOZBEA2,G1,348,215.32,196
01/12/2021,PRD3D8UI1II,G1,336,215.32,196
01/06/2021,PRDZ7NTY1Y7,G1,3794,206.9362,157
01/04/2021,PRDGKMY580I,G1,2398,206.9362,157
01/05/2020,PRDK9CUFT25,G9,32,102.46,113.485
01/03/2021,PRDSRBG516C,G9,116,78.1,92.41
01/05/2020,PRDNWX6MYUU,G9,516,78.1,78.1
01/08/2021,PRDE9Z9UV69,G1,152,156.94,204.5461
01/10/2020,PRDNGJK3MR5,G2,416,117.49,117.49
01/09/2020,PRDZVM1A7M4,G2,216,117.49,117.49
01/01/2022,PRD2O2GIC2S,G2,2816,108.58,95.89
01/10/2020,PRDW37XM7VH,G2,3016,105.79,105.79
01/06/2021,PRDQW16K91J,G2,66,134.7487,131.29
01/11/2021,PRD03L3OI75,G2,226,134.83,133.48
01/01/2021,PRDPNCPVOIY,G2,66,142.81,142.81
01/09/2020,PRDNXHN2RVE,G2,30,143.59,143.6158
01/10/2020,PRDJOP96QQ8,G2,410,105.85,105.85
01/03/2022,PRD2MUGM63H,G2,3016,97.93,95.47
01/05/2021,PRDUD9C33TE,G1,110,438.25,452.35
01/04/2021,PRDOQGGP03S,G1,30,156.85,106.15
01/09/2021,PRDKXNDI004,G1,36,215.08,161.08
01/11/2020,PRD4RW9VFH6,G1,300,106.15,106.15
01/09/2021,PRDZTJGVVKE,G1,36,212.59,161.38
01/02/2022,PRDL9559BAO,G1,52,101.47,212.59
01/01/2022,PRD9RYW2Z3V,G1,32,101.47,212.59
01/09/2020,PRDYYGEU3UA,G1,616,101.47,110.98
01/03/2022,PRD86P7SPQD,G1,196,101.47,148.48
01/01/2022,PRDW1Y7G3MU,G1,738,101.47,101.47
01/06/2021,PRDWGIWRLN9,G1,96,130.6081,127.27
01/02/2021,PRDHP7B8RHS,G1,88,127.27,127.3
01/02/2021,PRDU6QRD59V,G1,36,127.27,155.11
01/05/2021,PRDU6E4E7K1,G1,76,127.27,155.11
01/08/2021,PRDRJCDD5D0,G1,224,107.7112,104.7205
01/05/2021,PRD1O3SRDGQ,G1,80,105.04,104.9293
01/04/2021,PRDNM1FQYYT,G1,26,105.04,105.01
01/09/2021,PRD6IGXZJVA,G1,142,130.57,113.8
01/06/2021,PRDZAI1AB15,G1,90,116.734,113.8
01/02/2021,PRDWX0CGS3T,G1,44,123.52,123.52
01/06/2021,PRDRIMP097L,G1,28,126.7456,123.52
01/09/2021,PRDBNKKJ1B8,G1,30,167.95,126.76
01/12/2021,PRD8VW6GIGA,G1,76,118.39,118.39
01/04/2021,PRDBRQG1GNB,G1,416,84.82,84.82
01/09/2021,PRDDS3KGGB6,G3,616,75.61,75.61
01/03/2022,PRDW25WAK1U,G3,236,75.61,91.45
01/04/2021,PRD36Y41MU3,G3,32,75.61,113.05
01/06/2021,PRDPE0KA73J,G3,192,95.9692,93.64
01/11/2020,PRDQHPR2UI8,G3,36,93.64,143.05
01/12/2021,PRD9Y41IKTN,G3,432,88.72,88.72
01/03/2021,PRDT8EBSN6I,G3,30,114.01,114.01
01/01/2021,PRDSE84AYR0,G1,36,135.04,135.04
01/12/2021,PRD089W6THW,G3,26,279.31,279.31
01/02/2021,PRD4RHPMS3U,G1,32,148.9,182.14
01/10/2020,PRD1EIJXSNW,G1,60,148.9,182.14
01/09/2020,PRDVS6ABA01,G1,56,148.9,182.14
01/05/2021,PRD8JEQ6OER,G1,66,148.9,148.9
01/02/2021,PRD6GUUCJ4A,G1,40,148.9,182.14
01/02/2022,PRDETYE9IRB,G1,206,142.57,176.8
01/01/2022,PRDHPSRHSGF,G1,66,142.57,176.8
01/12/2021,PRDNOX7XINQ,G1,26,242.95,242.95
01/06/2021,PRDLL6KLTN1,G1,28,181.3768,176.56
01/09/2021,PRDOXT4EEPU,G1,30,242.95,184.39
01/02/2021,PRDLRAGEG4A,G1,718,114.67,144.43
01/03/2021,PRDTB5GV6Y8,G1,216,118.78,118.78
01/11/2020,PRDV59O0WHH,G1,166,118.78,144.46
01/10/2021,PRD3TWNGUIZ,G1,216,136.39,121.87
01/04/2021,PRD1A7AHFOE,G1,486,118.78,122.2
01/03/2022,PRDMS1D4QCR,G1,31016,96.9094,91.99
01/09/2021,PRDC0YNTJPY,G1,36,226.3,169.33
01/11/2021,PRDYUUBZRKT,G1,646,107.44,127.57
01/04/2021,PRDGGWFY7WY,G1,56,152.38,103.3
01/12/2021,PRDC8MRVFRT,G1,124,97.33,145.96
01/01/2022,PRDBAG1TH0S,G1,152,97.33,99.85
01/03/2022,PRDQZFI9F0H,G1,816,97.33,99.85
01/03/2022,PRDGPE75AJC,G1,286,118.3,122.59
01/10/2020,PRDJ0BM6OBK,G1,324,103.33,103.3
01/11/2020,PRDW9PF2XHU,G1,48,93.25,152.38
01/01/2021,PRD9D2CU3OQ,G1,32,93.25,152.38
01/03/2021,PRDMW4HYEY2,G1,448,93.25,106.3
01/03/2021,PRDE8WXC5SI,G1,56,93.25,152.38
01/01/2021,PRD368G1CHZ,G1,2416,93.25,101.83
01/12/2021,PRD3X4XT77I,G1,5616,92.29,92.29
01/10/2021,PRDS8MREHW2,G1,416,92.29,92.29
01/03/2022,PRDJJQ9PAWP,G1,76,92.29,145.96
01/03/2022,PRDXXX6D7R1,G1,216,92.29,92.29
01/03/2022,PRD9OY7EJUN,G1,364,92.29,118.3
01/03/2022,PRDHUGBRHBQ,G1,6016,92.29,90.94
01/06/2021,PRDK36BYZTA,G1,216,90.94,105.94
01/06/2021,PRD90OCMF76,G1,28,155.8843,151.81
01/03/2021,PRDHITPL5BC,G1,34,151.81,151.81
01/04/2021,PRDM9RF5HIY,G1,96,124.63,124.63
01/01/2021,PRD7O6AEP9R,G1,30,124.63,151.81
01/11/2020,PRDMHT8OYCN,G1,36,124.63,151.81
01/05/2021,PRDUY4EPVGV,G1,30,124.63,151.81
01/02/2021,PRDB0CJZIP1,G1,88,124.63,124.63
01/05/2021,PRDUL21KNK5,G1,216,102.91,108.37
01/01/2022,PRDI78NKNOJ,G1,416,117.82,117.82
01/03/2022,PRD6LRIK0NS,G1,56,117.82,207.97
01/11/2021,PRDVIF15XK5,G1,96,117.82,145.36
01/12/2021,PRDSTHHOD2S,G1,46,235.09,235.09
01/10/2021,PRDL03JOVCP,G1,256,132.22,132.31
01/05/2021,PRD4AIOFAPD,G1,36,142.93,146.74
01/03/2020,PRD8UG4CH5U,G9,14016,65.29,48.349
01/02/2022,PRD1Z2EFGCG,G9,5416,83.5,61
01/11/2021,PRDI0PLS4JE,G9,7616,76.06,61
01/09/2021,PRDZPWUOVUG,G9,8916,76.06,61
01/12/2020,PRDWIIB0WUI,G9,3516,61.99,61
01/12/2021,PRD1X0DSDXH,G9,1116,83.5,61
01/09/2020,PRDHYQQKL9N,G9,3616,61.99,61
01/07/2021,PRDYCAUBLK8,G9,13316,61.99,61
01/01/2021,PRD9O334VGW,G9,11216,61.99,61
01/06/2020,PRDO6PESCD4,G9,2216,63.55,61
01/11/2020,PRDCAFHSXH9,G9,3116,61.99,61
01/03/2022,PRD0PSLR8VC,G9,12916,83.5,61
01/08/2020,PRDI2B8T4DI,G9,5416,63.55,61
01/05/2021,PRDP2ABCX4B,G9,6414,61.99,61
01/01/2022,PRDFR48G7IP,G9,15216,83.5,61
01/04/2021,PRDABSSYKN8,G9,5016,61.99,61
01/04/2020,PRDN9LE9VK8,G9,416,63.55,61
01/03/2021,PRDWEODUR5D,G9,8016,61.99,61
01/07/2020,PRDZBT0ELBA,G9,4716,63.55,61
01/02/2021,PRDE73BGFQ3,G9,3216,61.99,61
01/10/2021,PRD8W9T1N1A,G9,4116,76.06,61
01/10/2020,PRDFZM63MOQ,G9,6216,61.99,61
01/08/2021,PRDKD9FKV2U,G9,9316,61.99,61
01/05/2021,PRDHTYIUZ61,G9,5916,61.99,61
01/05/2020,PRDQBJNRVQG,G9,5016,63.55,61
01/06/2021,PRDB03RZJ07,G9,2916,61.99,61
01/02/2021,PRDKDIXXFYX,G9,416,76.09,63.76
01/09/2021,PRDTA8IDQVX,G9,316,79.21,61
01/05/2021,PRD1AT4INXR,G9,1416,66.94,61
01/03/2022,PRDYUZ5P2JH,G9,2216,86.89,61
01/10/2021,PRDXK0KZ2U3,G9,516,79.21,61
01/11/2021,PRDN5ITHHGS,G9,616,79.21,61
01/04/2021,PRDHIC9UZ8R,G9,4216,63.79,61
01/02/2022,PRDJ1Q6TL32,G9,1316,86.89,61
01/09/2021,PRDW963LEMP,G9,2316,66.94,61
01/01/2022,PRDKT2IL867,G9,316,86.89,61
01/10/2020,PRD4X6KVOE5,G9,716,65.26,61
01/01/2021,PRD5L1X1WAQ,G9,2516,65.26,61
01/06/2020,PRDXYW4F3N5,G9,1216,65.26,61
01/02/2021,PRDWR85E83N,G9,2016,65.26,61
01/09/2020,PRD9RH3117J,G9,916,65.26,61
01/08/2020,PRD0XXXL7LK,G9,316,65.26,61
01/12/2020,PRDRI2XLKNN,G9,216,65.26,61
01/01/2022,PRDD0FME114,G9,516,74.05,63.76
01/04/2020,PRD16R42431,G1,162016,16.57,16.33
01/04/2021,PRDR7MYFAY1,G1,192016,16.5562,16.264
01/06/2021,PRDL4F6Z509,G1,48016,16.57,16.264
01/07/2021,PRDBB07Q7EJ,G1,168016,16.57,16.264
01/03/2020,PRDY78C39OE,G1,6016,16.78,16.264
01/02/2021,PRDMHQ99J9X,G1,6016,16.6,16.264
01/10/2020,PRD97Z62VZ8,G1,6016,16.6,16.264
01/06/2020,PRDEZN2QIB1,G1,6016,16.6,16.264
01/12/2020,PRDKPS1B21Y,G1,6016,16.6,16.264
01/01/2021,PRD3CLMDOIQ,G1,6016,16.6,16.264
01/09/2021,PRD3FG2W8VP,G1,18016,16.63,16.264
01/08/2020,PRD5KAC7W7O,G1,6016,16.6,16.264
01/04/2020,PRDAYH8MDCY,G1,6016,16.6,16.264
01/03/2022,PRD5S2W8R1O,G1,6016,16.381,16.369
01/05/2020,PRDSVZNN4YH,G1,6016,16.6,16.264
01/04/2021,PRDZSIP5D65,G1,6016,16.618,16.264
